show_id;type;title;director;cast;country;date_added;release_year;rating;duration;listed_in;description;imdb_rating;imdb_vote
1;Movie;Jeans;S. Shankar;Prashanth, Aishwarya Rai Bachchan, Nassar, Senthil, S. Ve. Sekar, Raju Sundaram, Geeta, Radhika Sarathkumar, Gandhimathi, Janaki Sabesh, Lakshmi, Sirippu Bhaktan, Sergio Myers, Greg Bronson;India;21/09/2021;1998;TV-14;166 min;Comedy, Drama, Romance;When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.;6,5;3424
2;Movie;InuYasha the Movie 2: The Castle Beyond the Looking Glass;Toshiya Shinohara;Kappei Yamaguchi, Satsuki Yukino, K?ji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ÿgami, Yukana, Akiko Yajima, Toshihiko Nakajima, Yuzuru Fujimoto, Y?ji Ueda, Akiko Nakagawa, Kaori Shimizu, Y?ki Masuda, Nami Okamoto, Eisuke Yoda, Takako Matsumoto, Tadahisa Saizen, Tomoya Kawai, Tarou Masuoka, Mieko Harada, Richard Ian Cox, Paul Dobson, Saffron Henderson, Pam Hyatt, Janyse Jaud, Willow Johnson, Terry Klassen, Danny McKinnon, Jillian Michaels, Kirby Morrow, Nicole Oliver, Kelly Sheridan, Moneca Stori, Cathy Weseluck, Alec Willows, Matt Smith;Japan;15/09/2021;2002;TV-14;99 min;Action, Animation, Comedy, Romance;With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.;7,5;2042
3;Movie;InuYasha the Movie 3: Swords of an Honorable Ruler;Toshiya Shinohara;Kappei Yamaguchi, Satsuki Yukino, K?ji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Ÿtsuka, Kikuko Inoue, Yasunori Matsumoto, Fumihiko Tachiki, Kaneta Kimotsuki, Kenichi Ogata, J?ji Yanami, Ch?, Mamiko Noto, Katsumi Suzuki, Asako Dodo, Akiko Nakagawa, Y?ki Masuda, Kaori Shimizu, Nami Okamoto, Don Brown, Alaina Burnett, Richard Ian Cox, Michael Dobson, Paul Dobson, Jonathan Holmes, David Kaye, Jillian Michaels, Kirby Morrow, Richard Newman, Brenna OBrien, Ward Perry, Kelly Sheridan, Rebecca Shoichet, Moneca Stori, French Tickner, Cathy Weseluck;Japan;15/09/2021;2003;TV-14;99 min;Animation, Action, Adventure, Fantasy, Thriller;The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.;7,7;2134
4;TV Show;Star Trek: Deep Space Nine;;Avery Brooks, Rene Auberjonois, Cirroc Lofton, Alexander Siddig, Colm Meaney, Nana Visitor, Armin Shimerman, Terry Farrell, Michael Dorn, Randy James, Judi M. Durand, Aron Eisenberg, David B. Levinson, Andrew Robinson, Max Grod?nchik, Marc Alaimo, Tom Morga, Majel Barrett, Jeffrey Combs, J.G. Hertzler, Nicole de Boer, Casey Biggs, Rosalind Chao, Dennis Madalone, Cathy DeBuono, Chase Masterson, Penny Johnson Jerald, Salome Jens, Louise Fletcher, Ivor Bartels, Barry Jenner, Hana Hatae, Ken Marshall, Philip Anglim, Robert OReilly, James Darren, Tiny Ron, Wallace Shawn, Michael Bailous, Christopher Doyle, Melanie Smith, Brock Peters, Cecily Adams, Deborah Lacey, Camille Saviola, Ann Gillespie, Paul Dooley, Elle Alexander, Richard Beymer, John Colicos;United States;01/01/2017;1999;TV-14;7 Seasons;Action, Adventure, Drama, Sci-Fi;In this Star Trek spin-off, Commander Sisko leads the multi-species crew of Deep Space Nine, a Federation space station with a complex mission.;8;56687
5;TV Show;The Circle;Sidney J. Furie;Treat Williams, Robin Dunne, Gianpaolo Venuta, Daniel Enright, Dylan Trowbridge, J. Adam Brown, Jamie Robinson, Malin Akerman, Aaron Poole, Gordon Currie, Stewart Arnott, Alex Karzis, Anaya Farrell, Ken James, Dan Petronijevic, Leland Tilden, Jack Newman, Jennifer Hill, Michael Zeldin, Harvey Sokoloff, Jim Thorburn, Neil Foster, Barry Flatman, K. Trevor, Derek Boyes, David Collins, Robert J. Malyk, Reuben Rox;Canada, United States;08/09/2021;2021;TV-MA;3 Seasons;Thriller;Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.;4,9;615
6;TV Show;Angelina Ballerina;;Finty Williams, Judi Dench, Jo Wyatt, Keith Wickham, Jonell Elliott, Adrienne Posta, Derek Jacobi, Rob Rackstraw;United Kingdom;01/05/2021;2010;TV-Y;2 Seasons;Animation, Family;Angelina is crazy about ballet dancing, even though shes a young mouse, and studies hard with a famous teacher to become a prima ballerina.;5,8;416
7;Movie;Anjaam;Rahul Rawail;Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johnny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena Banerjee, Kiran Kumar, Deepak Tijori, Rumi Jaffery, Darshan Sandhar, Pradeep Suri, Baby Gazala, Kamaldeep, Ghanshyam Rohera, Birbal, Jugnu, Nisar Ahmad Ansari, Dinesh Hingoo;India;02/09/2021;1994;TV-14;143 min;Drama, Thriller;A wealthy industrialist?s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.;6,8;6245
8;Movie;In the Cut;Jane Campion;Jennifer Jason Leigh, Meg Ryan, Michael Nuccio, Allison Nega, Dominick Aries, Susan Gardner, Sharrieff Pugh, Nick Damici, Heather Litteer, Daniel T. Booth, Yaani King Mondschein, Frank Harts, Sebastian Sozzi, Zach Wegner, Mark Ruffalo, Patrice ONeal, Funda Duval, Theo Kogan, Sandy Vital, Sharon Riggins, Karen Riggins, Nancy La Scala, Ami Goodheart, Panicker Upendran, Kendra A. Zimmerman, Michelle Hurst, Sunrise Coigney, Hal Sherman, Dana Lubotsky, Jacinto Taras Riddick, Arthur J. Nascarella, James Firo, Cordell Clyde, Tim House, Julius LeFlore, Vinny Vella, Kevin Bacon, Skippy D, Michelle DiBenedetti, Angela Frye, Sein Gay, Chad Gilkison, Michael Ienna, Lou Martini Jr., Max Maxy, Susan Trishel Monson, Macc Plaise, Nicole Spruill;United Kingdom, Australia, France, United States;02/09/2021;2003;R;118 min;Mystery, Thriller;After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime.;5,3;22903
9;Movie;Clear and Present Danger;Phillip Noyce;Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Raymond Cruz, Dean Jones, Thora Birch, Ann Magnuson, Hope Lange, Tom Tammi, Tim Grimm, Belita Moreno, James Earl Jones, Jorge Luke, Jaime Gomez, Jared Chandler, Greg Germann, Ellen Geer, Ted Raimi, Vondie Curtis-Hall, John Lafayette, Beau Lotterman, Rex Linn, Peter Weireter, Victor Palmieri, Trip Hamilton, Ken Howard, Alexander Lester, Reg E. Cathey, Clark Gregg, Chris Conrad, Vaughn Armstrong, John Putch, Colleen Flynn, Reed Diamond, Cam Brainard, Brendan Ford, Michael Jace, Cameron Thor, Harley Venton, Miguel P?rez, Patrick Bauchau, Juan Carlos Colombo, Blanca Guerra, Rufino Echegoyen, Honorato Magaloni, Mario Iv˜n Martðnez, Eduardo N.T. Andrade, Hector Teller, Alejandro Bracho, Robert Arratia, Eliot Ferrer, David J. Negron Jr., Michael A. Mendez, Batan Silva, Diana Sowle, Kamala Lopez, Guillermo Rðos, Alejandro De Hoyos, Leo Garcia, Barbara Harrison, Mark Bailey, Elizabeth Dennehy, Patricia Belcher, Aaron Lustig, Tom Isbell, Kim Flowers, Claudia Lobo, Al Verdun, Lynne Marie Stewart, Catherine MacNeal, Denice Kumagai, Christine Moore, Marjorie Lovett, Lee Bear, Glenn E. Coats, Kevin Cooney, Lis Kern, Thomas Luskey, John Rixey Moore, Markus Alexander, Tom Bower, Aar«n I. Campos, Tory Christopher, Lisa Costanza, Chris De Socio, Michael Garvey, Bruce Holman, Aaron Michael Lacey, Deborah Landis, Mark Myers, Ken Parham, Paul Rausmussen, Cait Reed, Gary Rodriguez, R.A. Rondell, Robert Shepherd, Charles Tentindo, Jorge Vald?s Garcða;United States, Mexico;01/09/2021;1994;PG-13;142 min;Action, Crime, Drama, Thriller;When the presidents friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel.;6,9;94673
10;Movie;Initial D;;Shinichir? Miki, Greg Ayres, Christopher Bevins, Steve Blum, Z. Charles Bolton, Charles C. Campbell, Richard Cansino, Chris Cason, Colleen Clinkenbeard, Cynthia Cranz, Roland Angelo Crisolo, Terri Doty, Quinton Flynn, Crispin Freeman, Jonathan Freeman, Cris George, Grant George, Josh Grelle, Todd Haberkorn, Kyle Hebert, Kate Higgins, Bridget Hoffman, Chuck Huber, Jeremy Inman, Lex Lang, Kerrigan Mahan, Michael McConnohie, Joel McDonald, Scott Menville, Vic Mignogna, Anastasia Munoz, Colleen OShaughnessey, Brina Palencia, Ben Phillips, Orion Pitts, Derek Stephen Prince, David Rasner, Monica Rial, Tyson Rinehart, Robbie Rist, Ian Sinclair, Jason Spisak, J. Michael Tatum, Elias Taylorson, Austin Tindle, Eric Vale, Laurent Vernin, Maxey Whitehead, Kent Williams, Wally Wingert;Japan;01/09/2021;2005;TV-14;109 min;Animation, Action, Comedy, Drama, Sport;"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, its the teens turn to take the wheel.";8,4;2746
11;Movie;Labyrinth;Jim Henson;David Bowie, Jennifer Connelly, Toby Froud, Shelley Thompson, Christopher Malcolm, Natalie Finland, Shari Weiser, Brian Henson, Ron Mueck, Rob Mills, Dave Goelz, David Alan Barclay, David Shaughnessy, Karen Prell, Timothy Bateson, Frank Oz, Michael Hordern, Denise Bryer, Steve Whitmire, Kevin Clash, Anthony Asbury, Anthony Jackson, Douglas Blackwell, David Healy, Robert Beatty, Toby Philpott, Ian Thom, Charles Augins, Sherry Amott, Danny John-Jules, Cheryl Henson, Kaefan Shaw, Alistair Fullarton, Rollin Krewson, Richard Bodkin, Percy Edwards, Michael Attwell, Sean Barrett, John Bluthal, Peter Marinker, Kerry Shale, Marc Antona, Kenny Baker, Danny Blackner, Peter Burroughs, Toby Clark, Tessa Crockett, Warwick Davis, Malcolm Dixon, Anthony Georghiou, Paul Grant, John Key, Andrew Herd, Richard Jones, Jack Purvis, Mark Lisle, Peter Mandell, Linda Spriggs, Katie Purvis, Nicholas Read, Albert Wilkinson, Penny Stead, Michael Henbury Ballan, Elfrida Ashworth, Margaret Foyer, Elizabeth A. Gilbert, Louise Gold, Moira Grant, San Lee, Janis Mackintosh, Penny Marsden, Kim Mendez, Wendy Millward, Leonie Palette, Caroline Pope, Sharon White, John Aron, Terry Dane, Derek Hartley, Douglas Howes, Christopher Preston, Peter Salmon, Peter Sim, Graeme Sneddon, Graham Tudor-Phillips, David Turner, Barrie J. Wilkinson, Toni Barry, Kadrolsha Ona Carole, Jim Henson, Paul Markham, Steve Nallon, Jan Ravens, Enn Reitel, Mildred Shay;United Kingdom, United States;01/09/2021;1986;PG;101 min;Adventure, Family, Fantasy, Musical;In Jim Hensons fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin.;7,4;129177
12;Movie;Love Dont Cost a Thing;Troy Byer;Nick Cannon, Jordan Burg, Jackie Benoit, George Cedar, Gay Thomas Wilson, Al Thompson, Sam Sarpong, Nichole Galicia, Melissa Schuman, Imani Parks, Ian Chidlaw, J.B. Ghuman Jr., Christina Milian, Russell Howard, Elimu Nelson, Stuart Scott, Kevin Christy, Kenan Thompson, Kal Penn, Steve Harvey, Vanessa Bell Calloway, Ashley Monique Clark, Michael Q. Davis, Nicole Scherzinger, Peter Siragusa, Maria Carmen, Damon Butler, Shani Pride, Raistalla, Kelly Becerra, Lindsey Blaufarb, Crystal Colar, Rocio Mendoza, Benjamin Stephens, Dante Basco, Charles Owen, Mayte Garcia, Ralph Scherer, Ernestine Parks, Shvona Lavette Chung, Reagan Gomez-Preston, Ray Buffer;United States;01/09/2021;2003;PG-13;101 min;Comedy, Romance, Drama;A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.;5,2;8432
